iter	Passed	Remaining
842	18383	3423
843	18402	3401
844	18422	3379
845	18441	3356
846	18460	3334
847	18480	3312
848	18503	3291
849	18527	3269
850	18548	3247
851	18567	3225
852	18586	3203
853	18605	3180
854	18624	3158
855	18648	3137
856	18667	3114
857	18686	3092
858	18706	3070
859	18725	3048
860	18744	3026
861	18764	3004
862	18783	2981
863	18802	2959
864	18822	2937
865	18841	2915
866	18864	2893
867	18883	2871
868	18903	2849
869	18924	2827
870	18948	2806
871	18970	2784
872	19000	2764
873	19023	2742
874	19049	2721
875	19071	2699
876	19090	2677
877	19109	2655
878	19128	2633
879	19152	2611
880	19175	2590
881	19198	2568
882	19218	2546
883	19242	2524
884	19264	2503
885	19283	2481
886	19305	2459
887	19330	2438
888	19350	2416
889	19366	2393
890	19385	2371
891	19397	2348
892	19420	2327
893	19443	2305
894	19466	2283
895	19488	2262
896	19510	2240
897	19529	2218
898	19550	2196
899	19569	2174
900	19589	2152
901	19613	2130
902	19635	2109
903	19658	2087
904	19685	2066
905	19708	2044
906	19731	2023
907	19754	2001
908	19777	1979
909	19800	1958
910	19823	1936
911	19846	1915
912	19868	1893
913	19887	1871
914	19906	1849
915	19929	1827
916	19947	1805
917	19969	1783
918	19988	1761
919	20010	1740
920	20039	1718
921	20077	1698
922	20111	1677
923	20132	1655
924	20150	1633
925	20169	1611
926	20189	1589
927	20207	1567
928	20226	1545
929	20248	1524
930	20274	1502
931	20297	1480
932	20319	1459
933	20339	1437
934	20358	1415
935	20380	1393
936	20399	1371
937	20418	1349
938	20438	1327
939	20457	1305
940	20481	1284
941	20505	1262
942	20528	1240
943	20547	1218
944	20572	1197
945	20598	1175
946	20623	1154
947	20642	1132
948	20664	1110
949	20686	1088
950	20706	1066
951	20729	1045
952	20753	1023
953	20775	1001
954	20798	980
955	20820	958
956	20842	936
957	20861	914
958	20887	892
959	20909	871
960	20933	849
961	20956	827
962	20978	806
963	21000	784
964	21021	762
965	21046	740
966	21067	718
967	21089	697
968	21111	675
969	21133	653
970	21155	631
971	21178	610
972	21201	588
973	21224	566
974	21246	544
975	21268	523
976	21293	501
977	21315	479
978	21337	457
979	21359	435
980	21381	414
981	21400	392
982	21424	370
983	21447	348
984	21468	326
985	21485	305
986	21504	283
987	21527	261
988	21549	239
989	21571	217
990	21594	196
991	21615	174
992	21642	152
993	21664	130
994	21686	108
995	21710	87
996	21733	65
997	21756	43
998	21779	21
999	21801	0
